dataset,method,num_samples,seed,true_metric
gsm8k,Random,5000,2,86.9598180439727
gsm8k,Random,10000,0,84.98862774829416
gsm8k,Random,10000,1,86.58074298711145
gsm8k,Random,10000,2,86.05003790750568
gsm8k,EMBED (RR),500,0,86.27748294162244
gsm8k,EMBED (RR),500,1,85.74677786201667
gsm8k,EMBED (RR),500,2,85.06444275966642
gsm8k,EMBED (RR),1000,0,83.16906747536012
gsm8k,EMBED (RR),1000,1,82.78999241849885
gsm8k,EMBED (RR),1000,2,82.56254738438211
gsm8k,EMBED (RR),2500,0,81.04624715693708
gsm8k,EMBED (RR),2500,1,83.16906747536012
gsm8k,EMBED (RR),2500,2,81.50113722517058
gsm8k,EMBED (RR),5000,0,80.74298711144806
gsm8k,EMBED (RR),5000,1,81.57695223654284
gsm8k,EMBED (RR),5000,2,80.28809704321456
gsm8k,EMBED (RR),10000,0,81.04624715693708
gsm8k,EMBED (RR),10000,1,81.04624715693708
gsm8k,EMBED (RR),10000,2,80.3639120545868
gsm8k,RDS+ (RR),500,0,86.12585291887794
gsm8k,RDS+ (RR),500,1,85.67096285064443
gsm8k,RDS+ (RR),500,2,86.42911296436695
gsm8k,RDS+ (RR),1000,0,85.97422289613344
gsm8k,RDS+ (RR),1000,1,86.5049279757392
gsm8k,RDS+ (RR),1000,2,85.29188779378318
gsm8k,RDS+ (RR),2500,0,86.5049279757392
gsm8k,RDS+ (RR),2500,1,86.8081880212282
gsm8k,RDS+ (RR),2500,2,86.73237300985596
gsm8k,RDS+ (RR),5000,0,86.9598180439727
gsm8k,RDS+ (RR),5000,1,86.88400303260046
gsm8k,RDS+ (RR),5000,2,86.88400303260046
gsm8k,RDS+ (RR),10000,0,86.27748294162244
gsm8k,RDS+ (RR),10000,1,88.09704321455648
gsm8k,RDS+ (RR),10000,2,88.02122820318424
gsm8k,LESS (DG),500,0,77.48294162244125
gsm8k,LESS (DG),500,1,78.92342683851402
gsm8k,LESS (DG),500,2,79.52994692949204
gsm8k,LESS (DG),1000,0,79.6057619408643
gsm8k,LESS (DG),1000,1,81.04624715693708
gsm8k,LESS (DG),1000,2,80.51554207733132
gsm8k,LESS (DG),2500,0,81.9560272934041
gsm8k,LESS (DG),2500,1,80.59135708870356
gsm8k,LESS (DG),2500,2,81.12206216830933
gsm8k,LESS (DG),5000,0,79.9090219863533
gsm8k,LESS (DG),5000,1,81.88021228203183
gsm8k,LESS (DG),5000,2,82.10765731614859
gsm8k,LESS (DG),10000,0,81.6527672479151
gsm8k,LESS (DG),10000,1,80.43972706595906
gsm8k,LESS (DG),10000,2,80.66717210007582
gsm8k,LESS (UOT),500,0,83.09325246398787
gsm8k,LESS (UOT),500,1,84.3062926459439
gsm8k,LESS (UOT),500,2,84.3062926459439
gsm8k,LESS (UOT),1000,0,83.62395754359363
gsm8k,LESS (UOT),1000,1,85.36770280515542
gsm8k,LESS (UOT),1000,2,83.62395754359363
gsm8k,LESS (UOT),2500,0,83.16906747536012
gsm8k,LESS (UOT),2500,1,84.6095526914329
gsm8k,LESS (UOT),2500,2,85.44351781652767
gsm8k,LESS (UOT),5000,0,82.86580742987113
gsm8k,LESS (UOT),5000,1,84.00303260045489
gsm8k,LESS (UOT),5000,2,82.94162244124337
gsm8k,LESS (UOT),10000,0,81.12206216830933
gsm8k,LESS (UOT),10000,1,81.50113722517058
gsm8k,LESS (UOT),10000,2,82.71417740712661
gsm8k,LESS (RR),500,0,87.18726307808946
gsm8k,LESS (RR),500,1,86.3532979529947
gsm8k,LESS (RR),500,2,87.41470811220621
gsm8k,LESS (RR),1000,0,86.2016679302502
gsm8k,LESS (RR),1000,1,85.29188779378318
gsm8k,LESS (RR),1000,2,84.98862774829416
gsm8k,LESS (RR),2500,0,86.5049279757392
