dataset,method,num_samples,seed,true_metric
gsm8k,EMBED (RR),1000,2,13.722517058377559
gsm8k,EMBED (RR),2500,0,36.39120545868082
gsm8k,EMBED (RR),2500,1,35.860500379075056
gsm8k,EMBED (RR),2500,2,35.93631539044731
gsm8k,EMBED (RR),5000,0,39.044730856709634
gsm8k,EMBED (RR),5000,1,37.45261561789234
gsm8k,EMBED (RR),5000,2,39.34799090219864
gsm8k,EMBED (RR),10000,0,38.74147081122062
gsm8k,EMBED (RR),10000,1,38.210765731614856
gsm8k,EMBED (RR),10000,2,39.044730856709634
gsm8k,RDS+ (RR),500,0,33.586050037907505
gsm8k,RDS+ (RR),500,1,33.66186504927976
gsm8k,RDS+ (RR),500,2,33.66186504927976
gsm8k,RDS+ (RR),1000,0,31.46322971948446
gsm8k,RDS+ (RR),1000,1,32.752084912812734
gsm8k,RDS+ (RR),1000,2,32.069749810462476
gsm8k,RDS+ (RR),2500,0,36.23957543593632
gsm8k,RDS+ (RR),2500,1,35.17816527672479
gsm8k,RDS+ (RR),2500,2,34.040940106141015
gsm8k,RDS+ (RR),5000,0,42.00151630022744
gsm8k,RDS+ (RR),5000,1,40.78847611827142
gsm8k,RDS+ (RR),5000,2,39.65125094768764
gsm8k,RDS+ (RR),10000,0,42.0773313115997
gsm8k,RDS+ (RR),10000,1,43.06292645943897
gsm8k,RDS+ (RR),10000,2,43.669446550416986
gsm8k,LESS (DG),500,0,34.72327520849128
gsm8k,LESS (DG),500,1,35.6330553449583
gsm8k,LESS (DG),500,2,35.55724033358605
gsm8k,LESS (DG),1000,0,31.99393479909022
gsm8k,LESS (DG),1000,1,32.14556482183472
gsm8k,LESS (DG),1000,2,30.25018953752843
gsm8k,LESS (DG),2500,0,34.26838514025777
gsm8k,LESS (DG),2500,1,35.860500379075056
gsm8k,LESS (DG),2500,2,35.78468536770281
gsm8k,LESS (DG),5000,0,36.770280515542076
gsm8k,LESS (DG),5000,1,35.70887035633055
gsm8k,LESS (DG),5000,2,36.84609552691433
gsm8k,LESS (DG),10000,0,37.75587566338135
gsm8k,LESS (DG),10000,1,36.99772554965883
gsm8k,LESS (DG),10000,2,36.770280515542076
gsm8k,LESS (UOT),500,0,35.93631539044731
gsm8k,LESS (UOT),500,1,34.26838514025777
gsm8k,LESS (UOT),500,2,34.495830174374525
gsm8k,LESS (UOT),1000,0,31.842304776345713
gsm8k,LESS (UOT),1000,1,32.52463987869598
gsm8k,LESS (UOT),1000,2,31.99393479909022
gsm8k,LESS (UOT),2500,0,35.02653525398029
gsm8k,LESS (UOT),2500,1,35.10235026535254
gsm8k,LESS (UOT),2500,2,34.34420015163002
gsm8k,LESS (UOT),5000,0,36.92191053828658
gsm8k,LESS (UOT),5000,1,37.07354056103108
gsm8k,LESS (UOT),5000,2,36.23957543593632
gsm8k,LESS (UOT),10000,0,36.99772554965883
gsm8k,LESS (UOT),10000,1,36.01213040181956
gsm8k,LESS (UOT),10000,2,36.46702047005307
gsm8k,LESS (RR),500,0,35.25398028809704
gsm8k,LESS (RR),500,1,34.64746019711903
gsm8k,LESS (RR),500,2,34.72327520849128
gsm8k,LESS (RR),1000,0,33.131159969673995
gsm8k,LESS (RR),1000,1,31.311599696739954
gsm8k,LESS (RR),1000,2,32.14556482183472
gsm8k,LESS (RR),2500,0,35.70887035633055
gsm8k,LESS (RR),2500,1,34.11675511751327
gsm8k,LESS (RR),2500,2,35.10235026535254
gsm8k,LESS (RR),5000,0,36.315390447308566
gsm8k,LESS (RR),5000,1,36.99772554965883
gsm8k,LESS (RR),5000,2,37.14935557240334
gsm8k,LESS (RR),10000,0,36.99772554965883
gsm8k,LESS (RR),10000,1,38.51402577710387
gsm8k,LESS (RR),10000,2,36.315390447308566
gsm8k,LESS (KNN-Unif.),500,0,35.55724033358605
gsm8k,LESS (KNN-Unif.),500,1,35.329795299469296
gsm8k,LESS (KNN-Unif.),500,2,34.57164518574678
gsm8k,LESS (KNN-Unif.),1000,0,33.05534495830174
gsm8k,LESS (KNN-Unif.),1000,1,34.19257012888552
gsm8k,LESS (KNN-Unif.),1000,2,34.79909021986353
gsm8k,LESS (KNN-Unif.),2500,0,37.07354056103108
gsm8k,LESS (KNN-Unif.),2500,1,34.950720242608035
gsm8k,LESS (KNN-Unif.),2500,2,35.4814253222138
gsm8k,LESS (KNN-Unif.),5000,0,34.19257012888552
gsm8k,LESS (KNN-Unif.),5000,1,35.10235026535254
gsm8k,LESS (KNN-Unif.),5000,2,35.4814253222138
