dataset,method,num_samples,dev,test,seed
codex,LESS (DG),1000,0.7811398655176163,0.9301278299173793,0
codex,LESS (DG),1000,0.7759714275598526,0.9132510903920676,1
codex,LESS (DG),1000,0.7704660631716251,0.9189809491304127,2
codex,LESS (DG),2500,0.7635930143296719,0.8990821557471881,0
codex,LESS (DG),2500,0.8110880181193352,0.9533554206828814,1
codex,LESS (DG),2500,0.7639003526419401,0.9142343245849416,2
codex,LESS (DG),5000,0.7972667757421732,0.9406163440765561,0
codex,LESS (DG),5000,0.7873032819479704,0.9388704607011499,1
codex,LESS (DG),5000,0.8009848613291979,0.9394771929930996,2
codex,LESS (DG),10000,0.7366218008100986,0.8878091392484871,0
codex,LESS (DG),10000,0.7119126413017511,0.8707309567646401,1
codex,LESS (DG),10000,0.7506248336285353,0.8997380423384744,2
codex,LESS (KNN-KDE),500,0.6592439953237772,0.7862076895261133,0
codex,LESS (KNN-KDE),500,0.6371552292257547,0.7645394912845379,1
codex,LESS (KNN-KDE),500,0.6744529865682125,0.7983426421477988,2
codex,LESS (KNN-KDE),1000,0.7223817948251963,0.8604004706281263,0
codex,LESS (KNN-KDE),1000,0.7562046907842159,0.8869157761738107,1
codex,LESS (KNN-KDE),1000,0.7530718017369509,0.8889655168797519,2
codex,LESS (KNN-KDE),2500,0.7588068712502718,0.9050123349234864,0
codex,LESS (KNN-KDE),2500,0.738007415086031,0.8953302457324557,1
codex,LESS (KNN-KDE),2500,0.7272212319076061,0.8769294243003871,2
codex,LESS (KNN-KDE),5000,0.7734321374446154,0.914058716313259,0
codex,LESS (KNN-KDE),5000,0.7791148498654366,0.9293215558738321,1
codex,LESS (KNN-KDE),5000,0.7484997771680355,0.9010196726869892,2
codex,LESS (KNN-KDE),10000,0.7042462453246117,0.8649938092441172,0
codex,LESS (KNN-KDE),10000,0.6728880442678928,0.8288559367930567,1
codex,LESS (KNN-KDE),10000,0.6706692986190319,0.8203098436666502,2
codex,LESS (KNN-Unif.),500,0.6679162085056305,0.7796073146164417,0
codex,LESS (KNN-Unif.),500,0.633011419326067,0.7530039042435788,1
codex,LESS (KNN-Unif.),500,0.6168582048267126,0.7359837812145014,2
codex,LESS (KNN-Unif.),1000,0.7671739421784878,0.8981010147647278,0
codex,LESS (KNN-Unif.),1000,0.7823332659900188,0.9118235969060177,1
codex,LESS (KNN-Unif.),1000,0.7411587480455637,0.8725238778703922,2
codex,LESS (KNN-Unif.),2500,0.7597468309104443,0.9040962707351994,0
codex,LESS (KNN-Unif.),2500,0.7433815263211727,0.9049835030895632,1
codex,LESS (KNN-Unif.),2500,0.7486784961074591,0.9017239828166124,2
codex,LESS (KNN-Unif.),5000,0.7909946329891682,0.9422905023234922,0
codex,LESS (KNN-Unif.),5000,0.7638093531131744,0.9165493263988882,1
codex,LESS (KNN-Unif.),5000,0.7575068026781082,0.9164775849596875,2
codex,LESS (KNN-Unif.),10000,0.7168493065983057,0.8642697754139835,0
codex,LESS (KNN-Unif.),10000,0.7011696826666594,0.8561106520528728,1
codex,LESS (KNN-Unif.),10000,0.6916148625314236,0.8441470629862837,2
codex,LESS (RR),500,0.7808761540800333,0.915927256583362,0
codex,LESS (RR),500,0.74778937920928,0.8894277956034686,1
codex,LESS (RR),500,0.7284956090152264,0.8517381720043518,2
codex,LESS (RR),1000,0.7512722387909889,0.9019196844986967,0
codex,LESS (RR),1000,0.769026530906558,0.9272098297605643,1
codex,LESS (RR),1000,0.7440314702689648,0.9049949906766415,2
codex,LESS (RR),2500,0.740881597623229,0.9087781897066413,0
codex,LESS (RR),2500,0.7643539384007454,0.9138401590690419,1
codex,LESS (RR),2500,0.7698262967169285,0.9249055963513013,2
codex,LESS (RR),5000,0.7652468886226416,0.9198180712960862,0
codex,LESS (RR),5000,0.7513271067291498,0.9008148680063518,1
codex,LESS (RR),5000,0.7695877868682146,0.9184893937529744,2
codex,LESS (RR),10000,0.7019524816423655,0.8572948285051294,0
codex,LESS (RR),10000,0.6990903802216053,0.8496376688818674,1
codex,LESS (RR),10000,0.690648166462779,0.8439363719442406,2
codex,LESS (UOT),500,0.7885726056993008,0.8986761705899561,0
codex,LESS (UOT),500,0.8066824469715357,0.9220573457108961,1
codex,LESS (UOT),500,0.7916001416742802,0.897181494916613,2
codex,LESS (UOT),1000,0.7932803798466921,0.9443927440490272,0
codex,LESS (UOT),1000,0.8192494176328182,0.9617481857940957,1
codex,LESS (UOT),1000,0.801526140421629,0.9333414401154261,2
codex,LESS (UOT),2500,0.7517567928880453,0.9068494323339011,0
codex,LESS (UOT),2500,0.7808357980102301,0.9232439835732048,1
codex,LESS (UOT),2500,0.7814007457345724,0.9246887261601718,2
codex,LESS (UOT),5000,0.7565061207860708,0.9157932155035637,0
codex,LESS (UOT),5000,0.7660349421203136,0.9203198703156935,1
codex,LESS (UOT),5000,0.7568309996277094,0.9077718674733832,2
codex,LESS (UOT),10000,0.7262177020311356,0.8718379872876245,0
codex,LESS (UOT),10000,0.684110214933753,0.8443695343024021,1
codex,LESS (UOT),10000,0.7068599723279476,0.8642519128483694,2
codex,RDS+ (RR),500,0.7625410556793213,0.9160556947258679,0
codex,RDS+ (RR),500,0.7775180507451296,0.9345012190374168,1
codex,RDS+ (RR),500,0.7837417759001255,0.9374827698275849,2
codex,RDS+ (RR),1000,0.8646471351385117,1.0064213697773379,0
codex,RDS+ (RR),1000,0.8867828212678432,1.0212378254210628,1
codex,RDS+ (RR),1000,0.8732520081102848,1.0122700100009505,2
codex,RDS+ (RR),2500,0.9218690395355225,1.061688687551666,0
codex,RDS+ (RR),2500,0.908128272742033,1.0483609040242594,1
codex,RDS+ (RR),2500,0.9187930710613728,1.0600342830089298,2
codex,RDS+ (RR),5000,0.9238412603735924,1.0495806965674903,0
codex,RDS+ (RR),5000,0.8874212019145489,1.0264648819291913,1
codex,RDS+ (RR),5000,0.913582231849432,1.0463779301860847,2
codex,RDS+ (RR),10000,0.9147686846554279,1.0290241424699087,0
codex,RDS+ (RR),10000,0.9116284847259521,1.0233388926733185,1
codex,RDS+ (RR),10000,0.9059615731239319,1.0226855087723281,2
codex,Random,500,0.6666372008621693,0.8181621205766458,0
codex,Random,500,0.6837608925998211,0.830615578974421,1
codex,Random,500,0.6703580971807241,0.8182133594276132,2
codex,Random,1000,0.7026487998664379,0.8604468767707413,0
codex,Random,1000,0.7189354207366705,0.8673360886404643,1
codex,Random,1000,0.7290991824120283,0.8756779284291977,2
codex,Random,2500,0.7831483725458384,0.9301640956184348,0
codex,Random,2500,0.7944124769419432,0.9482640897905504,1
codex,Random,2500,0.8119491804391146,0.9576923012532093,2
codex,Random,5000,0.8294182680547237,0.9694975773627693,0
codex,Random,5000,0.8211765754967928,0.9670080006928057,1
codex,Random,5000,0.8346795476973057,0.977611402402053,2
codex,Random,10000,0.8051432482898235,0.9439424502889853,0
codex,Random,10000,0.8041653968393803,0.9534709680120688,1
codex,Random,10000,0.8134571090340614,0.9585623565960575,2
gsm8k,EMBED (RR),500,1.080254189670086,8.638709862183404,0
gsm8k,EMBED (RR),500,1.0831328630447388,8.673373981169267,1
gsm8k,EMBED (RR),500,1.0870425999164581,8.725350108446724,2
gsm8k,EMBED (RR),1000,1.1051433682441711,9.021219445865565,0
gsm8k,EMBED (RR),1000,1.1092474684119225,9.019558726159618,1
gsm8k,EMBED (RR),1000,1.1132018864154816,9.201656821282006,2
gsm8k,EMBED (RR),2500,1.105163335800171,9.34474575311691,0
gsm8k,EMBED (RR),2500,1.1018743216991425,9.404024409380169,1
gsm8k,EMBED (RR),2500,1.1066934615373611,9.306898644514568,2
gsm8k,EMBED (RR),5000,1.1037758439779282,9.466402093961078,0
gsm8k,EMBED (RR),5000,1.1074906215071678,9.604807453141056,1
gsm8k,EMBED (RR),5000,1.1064593568444252,9.675577906607858,2
gsm8k,EMBED (RR),10000,1.113301619887352,9.588562428906075,0
gsm8k,EMBED (RR),10000,1.108113668859005,9.280863091654629,1
gsm8k,EMBED (RR),10000,1.1222121939063072,9.320024295861835,2
gsm8k,LESS (DG),500,0.9600187465548515,8.989852105242633,0
gsm8k,LESS (DG),500,0.9540719985961914,9.130541422947326,1
gsm8k,LESS (DG),500,0.9507294297218323,9.04067820468755,2
gsm8k,LESS (DG),1000,0.9432625994086266,8.721619337413056,0
gsm8k,LESS (DG),1000,0.9325501024723053,8.663589332210377,1
gsm8k,LESS (DG),1000,0.9539319351315498,8.63926749196895,2
gsm8k,LESS (DG),2500,0.9666499048471451,8.907674612648293,0
gsm8k,LESS (DG),2500,0.9595101401209831,8.706901779131423,1
gsm8k,LESS (DG),2500,0.9669365286827087,8.731849629920571,2
gsm8k,LESS (DG),5000,0.9589821398258209,9.143809977582768,0
gsm8k,LESS (DG),5000,0.9652770087122917,9.283264605541678,1
gsm8k,LESS (DG),5000,0.9485948979854584,9.51606673738828,2
gsm8k,LESS (DG),10000,0.9585997238755226,9.302282322890113,0
gsm8k,LESS (DG),10000,0.951581284403801,9.259378823301303,1
gsm8k,LESS (DG),10000,0.9584827497601509,9.181449363772122,2
gsm8k,LESS (KNN-KDE),500,0.9941696971654892,9.620835554428043,0
gsm8k,LESS (KNN-KDE),500,1.0013151541352272,9.341827208205912,1
gsm8k,LESS (KNN-KDE),500,0.9920297190546989,9.431340549460318,2
gsm8k,LESS (KNN-KDE),1000,0.9555894210934639,9.450682974837783,0
gsm8k,LESS (KNN-KDE),1000,0.9605264663696289,9.515440611517548,1
gsm8k,LESS (KNN-KDE),1000,0.9656337052583694,9.411510042750175,2
gsm8k,LESS (KNN-KDE),2500,0.9681424051523209,9.451545232349133,0
gsm8k,LESS (KNN-KDE),2500,0.9480592906475067,9.51733213739923,1
gsm8k,LESS (KNN-KDE),2500,0.9674851074814796,9.38118072239353,2
gsm8k,LESS (KNN-KDE),5000,0.9702555686235428,9.581072089344918,0
gsm8k,LESS (KNN-KDE),5000,0.9636400416493416,8.995000297323694,1
gsm8k,LESS (KNN-KDE),5000,0.9531549215316772,9.205686873247263,2
gsm8k,LESS (KNN-KDE),10000,0.9641940593719482,9.616105945838772,0
gsm8k,LESS (KNN-KDE),10000,0.9483041539788246,9.821920826545352,1
gsm8k,LESS (KNN-KDE),10000,0.9529436752200127,9.33909592292271,2
gsm8k,LESS (KNN-Unif.),500,1.0005365461111069,9.127684685025276,0
gsm8k,LESS (KNN-Unif.),500,1.0083976313471794,9.197003788619082,1
gsm8k,LESS (KNN-Unif.),500,0.9928413406014442,9.106467827600996,2
gsm8k,LESS (KNN-Unif.),1000,0.9649997800588608,9.288592262644041,0
gsm8k,LESS (KNN-Unif.),1000,0.9763438999652863,9.454632136566879,1
gsm8k,LESS (KNN-Unif.),1000,0.9653408378362656,9.212604836137842,2
gsm8k,LESS (KNN-Unif.),2500,0.9838485196232796,9.354167041677341,0
gsm8k,LESS (KNN-Unif.),2500,0.9715917408466339,9.274229979135486,1
gsm8k,LESS (KNN-Unif.),2500,0.9764601439237595,9.224548071961769,2
gsm8k,LESS (KNN-Unif.),5000,0.9645759761333466,9.184498834284623,0
gsm8k,LESS (KNN-Unif.),5000,0.9718261584639549,8.975883017894985,1
gsm8k,LESS (KNN-Unif.),5000,0.9613622575998306,9.368994594975979,2
gsm8k,LESS (KNN-Unif.),10000,0.9653130397200584,9.399780281390811,0
gsm8k,LESS (KNN-Unif.),10000,0.9617865830659866,9.623670391823145,1
