dataset,method,num_samples,seed,true_metric
codex,LESS (KNN-Unif.),2500,1,72.97297297297297
codex,LESS (KNN-Unif.),2500,2,70.27027027027027
codex,LESS (KNN-Unif.),5000,0,79.72972972972973
codex,LESS (KNN-Unif.),5000,1,76.35135135135135
codex,LESS (KNN-Unif.),5000,2,77.02702702702703
codex,LESS (KNN-Unif.),10000,0,75.67567567567568
codex,LESS (KNN-Unif.),10000,1,77.7027027027027
codex,LESS (KNN-Unif.),10000,2,75.0
codex,LESS (KNN-KDE),500,0,70.94594594594594
codex,LESS (KNN-KDE),500,1,72.2972972972973
codex,LESS (KNN-KDE),500,2,75.0
codex,LESS (KNN-KDE),1000,0,72.97297297297297
codex,LESS (KNN-KDE),1000,1,76.35135135135135
codex,LESS (KNN-KDE),1000,2,74.32432432432432
codex,LESS (KNN-KDE),2500,0,77.02702702702703
codex,LESS (KNN-KDE),2500,1,73.64864864864865
codex,LESS (KNN-KDE),2500,2,74.32432432432432
codex,LESS (KNN-KDE),5000,0,75.67567567567568
codex,LESS (KNN-KDE),5000,1,72.97297297297297
codex,LESS (KNN-KDE),5000,2,79.05405405405406
codex,LESS (KNN-KDE),10000,0,77.7027027027027
codex,LESS (KNN-KDE),10000,1,79.05405405405406
codex,LESS (KNN-KDE),10000,2,73.64864864864865
gsm8k,Random,500,0,75.73919636087946
gsm8k,Random,500,1,74.07126611068992
gsm8k,Random,500,2,74.45034116755117
gsm8k,Random,1000,0,75.5117513267627
gsm8k,Random,1000,1,74.90523123578468
gsm8k,Random,1000,2,74.67778620166793
gsm8k,Random,2500,0,75.89082638362396
gsm8k,Random,2500,1,74.22289613343442
gsm8k,Random,2500,2,71.1144806671721
gsm8k,Random,5000,0,74.37452615617892
gsm8k,Random,5000,1,74.14708112206216
gsm8k,Random,5000,2,74.75360121304018
gsm8k,Random,10000,0,74.60197119029569
gsm8k,Random,10000,1,74.60197119029569
gsm8k,Random,10000,2,75.5117513267627
gsm8k,EMBED (RR),500,0,9.78013646702047
gsm8k,EMBED (RR),500,1,10.993176648976497
gsm8k,EMBED (RR),500,2,9.552691432903714
gsm8k,EMBED (RR),1000,0,73.3131159969674
gsm8k,EMBED (RR),1000,1,73.61637604245641
gsm8k,EMBED (RR),1000,2,68.91584533737681
gsm8k,EMBED (RR),2500,0,75.5117513267627
gsm8k,EMBED (RR),2500,1,74.67778620166793
gsm8k,EMBED (RR),2500,2,75.2084912812737
gsm8k,EMBED (RR),5000,0,74.14708112206216
gsm8k,EMBED (RR),5000,1,73.91963608794542
gsm8k,EMBED (RR),5000,2,74.37452615617892
gsm8k,EMBED (RR),10000,0,72.32752084912812
gsm8k,EMBED (RR),10000,1,72.55496588324488
gsm8k,EMBED (RR),10000,2,73.23730098559514
gsm8k,RDS+ (RR),500,0,63.229719484457924
gsm8k,RDS+ (RR),500,1,67.17210007581501
gsm8k,RDS+ (RR),500,2,64.5185746777862
gsm8k,RDS+ (RR),1000,0,67.32373009855952
gsm8k,RDS+ (RR),1000,1,69.67399545109932
gsm8k,RDS+ (RR),1000,2,71.56937073540561
gsm8k,RDS+ (RR),2500,0,73.99545109931766
gsm8k,RDS+ (RR),2500,1,73.91963608794542
gsm8k,RDS+ (RR),2500,2,74.14708112206216
gsm8k,RDS+ (RR),5000,0,73.0098559514784
gsm8k,RDS+ (RR),5000,1,73.23730098559514
gsm8k,RDS+ (RR),5000,2,73.23730098559514
gsm8k,RDS+ (RR),10000,0,73.0098559514784
gsm8k,RDS+ (RR),10000,1,73.76800606520091
gsm8k,RDS+ (RR),10000,2,73.1614859742229
gsm8k,LESS (DG),500,0,67.55117513267626
gsm8k,LESS (DG),500,1,68.7642153146323
gsm8k,LESS (DG),500,2,67.24791508718727
gsm8k,LESS (DG),1000,0,69.82562547384383
gsm8k,LESS (DG),1000,1,73.91963608794542
gsm8k,LESS (DG),1000,2,71.87263078089462
gsm8k,LESS (DG),2500,0,72.63078089461713
gsm8k,LESS (DG),2500,1,74.22289613343442
gsm8k,LESS (DG),2500,2,74.75360121304018
gsm8k,LESS (DG),5000,0,73.76800606520091
gsm8k,LESS (DG),5000,1,74.14708112206216
gsm8k,LESS (DG),5000,2,74.14708112206216
gsm8k,LESS (DG),10000,0,73.54056103108415
gsm8k,LESS (DG),10000,1,73.99545109931766
gsm8k,LESS (DG),10000,2,73.08567096285064
gsm8k,LESS (UOT),500,0,67.77862016679302
gsm8k,LESS (UOT),500,1,64.2153146322972
gsm8k,LESS (UOT),500,2,64.8218347232752
gsm8k,LESS (UOT),1000,0,71.49355572403337
gsm8k,LESS (UOT),1000,1,71.64518574677786
gsm8k,LESS (UOT),1000,2,71.64518574677786
gsm8k,LESS (UOT),2500,0,74.45034116755117
gsm8k,LESS (UOT),2500,1,73.0098559514784
gsm8k,LESS (UOT),2500,2,74.52615617892343
gsm8k,LESS (UOT),5000,0,74.29871114480667
gsm8k,LESS (UOT),5000,1,74.75360121304018
gsm8k,LESS (UOT),5000,2,73.61637604245641
gsm8k,LESS (UOT),10000,0,73.76800606520091
gsm8k,LESS (UOT),10000,1,73.4647460197119
gsm8k,LESS (UOT),10000,2,75.2084912812737
gsm8k,LESS (RR),500,0,70.73540561031083
gsm8k,LESS (RR),500,1,66.565579984837
gsm8k,LESS (RR),500,2,69.0674753601213
gsm8k,LESS (RR),1000,0,71.87263078089462
gsm8k,LESS (RR),1000,1,73.38893100833965
gsm8k,LESS (RR),1000,2,72.70659590598939
gsm8k,LESS (RR),2500,0,74.52615617892343
gsm8k,LESS (RR),2500,1,74.60197119029569
gsm8k,LESS (RR),2500,2,72.93404094010614
gsm8k,LESS (RR),5000,0,73.69219105382867
gsm8k,LESS (RR),5000,1,74.52615617892343
gsm8k,LESS (RR),5000,2,75.13267626990144
gsm8k,LESS (RR),10000,0,74.22289613343442
gsm8k,LESS (RR),10000,1,74.22289613343442
gsm8k,LESS (RR),10000,2,74.07126611068992
gsm8k,LESS (KNN-Unif.),500,0,68.08188021228203
gsm8k,LESS (KNN-Unif.),500,1,67.09628506444277
gsm8k,LESS (KNN-Unif.),500,2,69.2191053828658
gsm8k,LESS (KNN-Unif.),1000,0,69.74981046247157
gsm8k,LESS (KNN-Unif.),1000,1,70.65959059893859
gsm8k,LESS (KNN-Unif.),1000,2,69.0674753601213
gsm8k,LESS (KNN-Unif.),2500,0,73.76800606520091
gsm8k,LESS (KNN-Unif.),2500,1,74.22289613343442
gsm8k,LESS (KNN-Unif.),2500,2,74.90523123578468
gsm8k,LESS (KNN-Unif.),5000,0,74.60197119029569
gsm8k,LESS (KNN-Unif.),5000,1,75.05686125852918
gsm8k,LESS (KNN-Unif.),5000,2,74.67778620166793
gsm8k,LESS (KNN-Unif.),10000,0,74.67778620166793
gsm8k,LESS (KNN-Unif.),10000,1,73.84382107657316
gsm8k,LESS (KNN-Unif.),10000,2,75.2084912812737
gsm8k,LESS (KNN-KDE),500,0,71.79681576952237
gsm8k,LESS (KNN-KDE),500,1,68.6125852918878
gsm8k,LESS (KNN-KDE),500,2,69.0674753601213
gsm8k,LESS (KNN-KDE),1000,0,70.88703563305533
gsm8k,LESS (KNN-KDE),1000,1,73.08567096285064
gsm8k,LESS (KNN-KDE),1000,2,73.69219105382867
gsm8k,LESS (KNN-KDE),2500,0,74.14708112206216
gsm8k,LESS (KNN-KDE),2500,1,74.60197119029569
gsm8k,LESS (KNN-KDE),2500,2,75.13267626990144
gsm8k,LESS (KNN-KDE),5000,0,74.37452615617892
gsm8k,LESS (KNN-KDE),5000,1,74.67778620166793
gsm8k,LESS (KNN-KDE),5000,2,74.45034116755117
gsm8k,LESS (KNN-KDE),10000,0,73.99545109931766
gsm8k,LESS (KNN-KDE),10000,1,74.75360121304018
gsm8k,LESS (KNN-KDE),10000,2,74.67778620166793
tydiqa,Random,500,0,47.73493429178397
tydiqa,Random,500,1,45.46509198907479
tydiqa,Random,500,2,45.27046187046275
tydiqa,Random,1000,0,45.75689831385253
tydiqa,Random,1000,1,42.77189349890338
tydiqa,Random,1000,2,47.161243708271314
tydiqa,Random,2500,0,46.33741208001158
tydiqa,Random,2500,1,44.35975483207571
tydiqa,Random,2500,2,45.69300321437165
tydiqa,Random,5000,0,48.25367568529228
tydiqa,Random,5000,1,46.83240103039973
tydiqa,Random,5000,2,48.13381280175808
tydiqa,Random,10000,0,50.60574984474866
tydiqa,Random,10000,1,49.783695522674
tydiqa,Random,10000,2,51.084379397967254
tydiqa,EMBED (RR),500,0,52.683698247335926
tydiqa,EMBED (RR),500,1,54.01565641504808
tydiqa,EMBED (RR),500,2,53.69385525368985
tydiqa,EMBED (RR),1000,0,50.317990620951605
tydiqa,EMBED (RR),1000,1,50.15091156174254
tydiqa,EMBED (RR),1000,2,51.050592903519274
tydiqa,EMBED (RR),2500,0,51.61711711880664
tydiqa,EMBED (RR),2500,1,52.64088027563219
tydiqa,EMBED (RR),2500,2,52.95070258122699
tydiqa,EMBED (RR),5000,0,52.966494814112025
tydiqa,EMBED (RR),5000,1,54.57382445301534
tydiqa,EMBED (RR),5000,2,53.17677734635
tydiqa,EMBED (RR),10000,0,54.4003926041864
tydiqa,EMBED (RR),10000,1,54.28635947789982
tydiqa,EMBED (RR),10000,2,54.92175400436266
tydiqa,RDS+ (RR),500,0,53.9476786391679
tydiqa,RDS+ (RR),500,1,50.64522941892161
tydiqa,RDS+ (RR),500,2,52.65131155381899
tydiqa,RDS+ (RR),1000,0,51.68769800248817
tydiqa,RDS+ (RR),1000,1,51.480999515739946
tydiqa,RDS+ (RR),1000,2,49.718258545819566
tydiqa,RDS+ (RR),2500,0,54.11839253518298
tydiqa,RDS+ (RR),2500,1,55.30668547584907
tydiqa,RDS+ (RR),2500,2,55.053830140014334
tydiqa,RDS+ (RR),5000,0,56.70832975186943
tydiqa,RDS+ (RR),5000,1,57.07258110336474
tydiqa,RDS+ (RR),5000,2,56.865676197907206
tydiqa,RDS+ (RR),10000,0,56.327066557008834
tydiqa,RDS+ (RR),10000,1,56.782556678272776
tydiqa,RDS+ (RR),10000,2,57.18603113163689
tydiqa,LESS (DG),500,0,59.47467636086017
tydiqa,LESS (DG),500,1,59.97492370184375
tydiqa,LESS (DG),500,2,59.39233566255674
tydiqa,LESS (DG),1000,0,60.651429836514204
tydiqa,LESS (DG),1000,1,60.93446199924568
tydiqa,LESS (DG),1000,2,60.6664441039338
tydiqa,LESS (DG),2500,0,61.128239348686556
tydiqa,LESS (DG),2500,1,60.54445986183603
tydiqa,LESS (DG),2500,2,60.47697389346682
tydiqa,LESS (DG),5000,0,61.39969983594098
tydiqa,LESS (DG),5000,1,61.17581157666503
tydiqa,LESS (DG),5000,2,60.578721894098265
tydiqa,LESS (DG),10000,0,61.22224831992977
tydiqa,LESS (DG),10000,1,61.01595971456883
tydiqa,LESS (DG),10000,2,60.89223324022074
tydiqa,LESS (UOT),500,0,59.1599830839816
tydiqa,LESS (UOT),500,1,59.05609117651022
tydiqa,LESS (UOT),500,2,58.57272927561755
tydiqa,LESS (UOT),1000,0,60.98101825691487
tydiqa,LESS (UOT),1000,1,60.168571229515514
tydiqa,LESS (UOT),1000,2,60.14495416388648
tydiqa,LESS (UOT),2500,0,60.672853105114946
tydiqa,LESS (UOT),2500,1,60.14240140403331
tydiqa,LESS (UOT),2500,2,60.87376748622947
tydiqa,LESS (UOT),5000,0,60.258532769233675
tydiqa,LESS (UOT),5000,1,61.20159290814375
tydiqa,LESS (UOT),5000,2,60.47806082121383
tydiqa,LESS (UOT),10000,0,59.684911687006924
tydiqa,LESS (UOT),10000,1,61.020652139987405
tydiqa,LESS (UOT),10000,2,60.37701556075884
tydiqa,LESS (RR),500,0,58.43098935523309
tydiqa,LESS (RR),500,1,58.588470543430454
tydiqa,LESS (RR),500,2,58.57879275779799
tydiqa,LESS (RR),1000,0,60.53691661706475
tydiqa,LESS (RR),1000,1,61.1342862266901
tydiqa,LESS (RR),1000,2,59.78376488384337
tydiqa,LESS (RR),2500,0,60.45764957455842
tydiqa,LESS (RR),2500,1,61.1219627717449
tydiqa,LESS (RR),2500,2,60.79882891472872
tydiqa,LESS (RR),5000,0,61.37054522983989
tydiqa,LESS (RR),5000,1,60.83240669469852
tydiqa,LESS (RR),5000,2,60.616941233245306
tydiqa,LESS (RR),10000,0,60.53127235486021
tydiqa,LESS (RR),10000,1,59.845240360858014
tydiqa,LESS (RR),10000,2,60.42673396861815
tydiqa,LESS (KNN-Unif.),500,0,58.321380793581135
tydiqa,LESS (KNN-Unif.),500,1,59.06315924136537
tydiqa,LESS (KNN-Unif.),500,2,58.109458449221265
